#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,"is the graphical server."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
A,lf-git,"is an extensive terminal file manager that everyone likes."
,bc,"is used for a dropdown calculator."
,xcompmgr,"is for transparency and removing screen-tearing."
,xorg-xprop,"is a tool for detecting window properties."
,arandr,"allows the user to customize monitor arrangements."
,dosfstools,"allows your computer to access dos-like filesystems."
,libnotify,"allows desktop notifications."
,dunst,"is a suckless notification system."
,exfat-utils,"allows management of FAT drives."
A,nsxiv,"is a minimalist image viewer."
,xwallpaper,"sets the wallpaper."
,ffmpeg,"can record and splice video and audio on the command line."
,gnome-keyring,"serves as the system keyring."
A,gtk-theme-arc-gruvbox-git,"gives the dark GTK theme used in LARBS."
,neovim,"a tidier vim with some useful features"
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,mpv,"is the patrician's choice video player."
,man-db,"lets you read man pages of programs."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,newsboat,"is a terminal RSS client."
A,brave-bin,"is an elegant browser with built-in adblocking, tor and other features."
,firefox," is the best web browser"
,ntfs-3g,"allows accessing NTFS partitions."
,pipewire,"is the audio system."
,pipewire-pulse,"gives pipewire compatibility with PulseAudio programs."
,pulsemixer,"is an audio controller."
,pamixer,"is a command-line audio interface."
A,sc-im,"is an Excel-like terminal spreadsheet manager."
,maim,"can take quick screenshots at your request."
,unclutter,"hides an inactive mouse."
,unrar,"extracts rar's."
,unzip,"unzips zips."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
,youtube-dl,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,"shows audio and video information."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool."
,highlight,"can highlight code output."
,xorg-xbacklight,"enables changing screen brightness levels."
A,zsh-fast-syntax-highlighting-git,"provides syntax highlighting in the shell."
A,task-spooler,"queues commands or files for download."
A,simple-mtpfs,"enables the mounting of cell phones."
A,htop-vim-git,"is a graphical and colorful system monitor."
G,https://github.com/ricksdomein/rodenticide-wmblocks.git,"serves as the modular status bar."
G,https://github.com/ricksdomein/rodenticide-menu.git,"runs commands and provides a UI for selection."
G,https://github.com/ricksdomein/rodenticide-terminal.git,"is my custom build of suckless's terminal emulator."
G,https://github.com/ricksdomein/rodenticide-wm.git,"is the window manager."
,socat,"is a utility which establishes two byte streams and transfers data between them."
,moreutils,"is a collection of useful unix tools."
,wget,"is a network utility to retrieve files from the web."
,texlive-most,"is a group that contains most TeX Live packages."
,pandoc,"is a conversion between markup formats."
,network-manager-applet,"is an applet for managing network connections."
G,https://github.com/ricksdomein/pinentry-dmenu.git,"is a dmenu wrapping interface for gnupg's pinentry."
G,https://github.com/ricksdomein/lock,"is a simple, minimal lockscreen for any multimonitor setup."
,rsync,"is a fast and versatile file copying tool"
A,subliminal,"is a CLI tool for searching and downloading subtitles."
,ttf-ubuntu-font-family,"is a font used by rodenticide."
,exa,"is a ls replacement with colors."
A,j4-dmenu-desktop,"a menu to start an application using dmenu."
,alsa-utils,"an advanced linux sound architecture."
,xorg-xev,"is for printing contents of X events."
,picom,"an X compositor that may fix tearing issues."
G,https://github.com/bahamas10/vsv.git,"a Void Linux service manager (runit)."
,pacman-contrib,"contains contributed scripts and tools for pacman systems."
,light,"enables changing screen brightness levels."
,pavucontrol,"a PulseAudio Volume Control gui."
